nb_sow, date, nb_S, nb_IN, nb_IP, nb_CP, nb_S_o, nb_IN_o, nb_IP_o, nb_CP_o, seed
97.0,147.0,17.0,995.0,375.0,651.0,0.0,0.0,0.0,0.0,3
97.0,147.0,17.0,995.0,375.0,651.0,0.0,0.0,0.0,0.0,3
100.0,122.0,1100.0,0.0,280.0,721.0,0.0,0.0,0.0,0.0,3
97.0,147.0,17.0,995.0,375.0,651.0,0.0,0.0,0.0,0.0,3
97.0,147.0,13.0,1011.0,433.0,581.0,0.0,0.0,0.0,0.0,0
97.0,154.0,0.0,554.0,357.0,156.0,0.0,58.0,295.0,618.0,4
97.0,154.0,0.0,571.0,250.0,246.0,0.0,61.0,197.0,713.0,2
97.0,154.0,0.0,571.0,250.0,246.0,0.0,61.0,197.0,713.0,2
98.0,122.0,1078.0,0.0,282.0,699.0,0.0,0.0,0.0,0.0,1
97.0,154.0,0.0,557.0,354.0,156.0,0.0,67.0,305.0,599.0,3
98.0,122.0,1078.0,0.0,174.0,807.0,0.0,0.0,0.0,0.0,6
97.0,154.0,0.0,554.0,357.0,156.0,0.0,58.0,295.0,618.0,4
100.0,122.0,1100.0,0.0,280.0,721.0,0.0,0.0,0.0,0.0,3
98.0,122.0,1078.0,0.0,393.0,588.0,0.0,0.0,0.0,0.0,0
98.0,122.0,1078.0,0.0,169.0,812.0,0.0,0.0,0.0,0.0,2
98.0,122.0,1078.0,0.0,282.0,699.0,0.0,0.0,0.0,0.0,1
98.0,147.0,15.0,1006.0,466.0,572.0,0.0,0.0,0.0,0.0,9
100.0,122.0,1100.0,0.0,198.0,803.0,0.0,0.0,0.0,0.0,7
98.0,147.0,18.0,999.0,354.0,688.0,0.0,0.0,0.0,0.0,1
98.0,147.0,11.0,1003.0,256.0,789.0,0.0,0.0,0.0,0.0,6
98.0,147.0,8.0,1026.0,351.0,674.0,0.0,0.0,0.0,0.0,4
98.0,147.0,11.0,1003.0,256.0,789.0,0.0,0.0,0.0,0.0,6
100.0,122.0,1100.0,0.0,179.0,822.0,0.0,0.0,0.0,0.0,6
98.0,154.0,0.0,590.0,258.0,230.0,0.0,60.0,169.0,752.0,8
98.0,154.0,0.0,593.0,373.0,112.0,0.0,62.0,363.0,556.0,5
98.0,154.0,0.0,576.0,370.0,132.0,0.0,57.0,384.0,540.0,0
99.0,122.0,1089.0,0.0,175.0,816.0,0.0,0.0,0.0,0.0,7
99.0,122.0,1089.0,0.0,180.0,811.0,0.0,0.0,0.0,0.0,6
98.0,154.0,0.0,593.0,373.0,112.0,0.0,62.0,363.0,556.0,5
99.0,122.0,1089.0,0.0,214.0,777.0,0.0,0.0,0.0,0.0,8
100.0,122.0,1100.0,0.0,179.0,822.0,0.0,0.0,0.0,0.0,6
98.0,154.0,0.0,590.0,258.0,230.0,0.0,60.0,169.0,752.0,8
99.0,122.0,1089.0,0.0,279.0,712.0,0.0,0.0,0.0,0.0,1
99.0,122.0,1089.0,0.0,423.0,568.0,0.0,0.0,0.0,0.0,0
99.0,147.0,16.0,1036.0,348.0,680.0,0.0,0.0,0.0,0.0,1
99.0,147.0,19.0,1010.0,466.0,585.0,0.0,0.0,0.0,0.0,5
99.0,147.0,20.0,1007.0,384.0,669.0,0.0,0.0,0.0,0.0,3
99.0,147.0,18.0,1020.0,234.0,808.0,0.0,0.0,0.0,0.0,8
99.0,147.0,15.0,1025.0,365.0,675.0,0.0,0.0,0.0,0.0,4
99.0,154.0,0.0,580.0,340.0,169.0,0.0,64.0,307.0,620.0,4
99.0,154.0,0.0,557.0,345.0,187.0,0.0,66.0,319.0,606.0,1
99.0,154.0,0.0,557.0,345.0,187.0,0.0,66.0,319.0,606.0,1
